,BREAST_BT549,BREAST_HS578T,BREAST_MCF7,BREAST_MCF7ADRr,BREAST_MDAMB231,BREAST_MDAMB435,BREAST_MDN,BREAST_T47D,CNS_SF268,CNS_SF295,CNS_SF539,CNS_SNB19,CNS_SNB75,CNS_U251,COLON_COLO205,COLON_HCC2998,COLON_HCT116,COLON_HCT15,COLON_HT29,COLON_KM12,COLON_SW620,LEUK_CCRFCEM,LEUK_HL60,LEUK_K562,LEUK_MOLT4,LEUK_RPMI8266,LEUK_SR,MELAN_LOXIMVI,MELAN_M14,MELAN_MALME3M,MELAN_SKMEL2,MELAN_SKMEL28,MELAN_SKMEL5,MELAN_UACC257,MELAN_UACC62,NSCLC_A549,NSCLC_EKVX,NSCLC_H226,NSCLC_H23,NSCLC_H332M,NSCLC_H460,NSCLC_H522,NSCLC_HOP62,NSCLC_HOP92,OVAR_IGROV1,OVAR_OVCAR3,OVAR_OVCAR4,OVAR_OVCAR5,OVAR_OVCAR8,OVAR_SKOV3,PROSTATE_DU145,PROSTATE_PC3,RENAL_7860,RENAL_A498,RENAL_ACHN,RENAL_CAKI1,RENAL_RXF393,RENAL_SN12C,RENAL_TK10,RENAL_UO31
X15880_at,-0.773724915,3.232573109,0.330611745,-0.278029752,0.204470715,-0.208127739,0.137007747,-0.309056648,-0.773724915,2.477236659,1.261898995,1.360496025,4.502399491,2.265413479,-0.773724915,1.156066083,0.121577707,-0.773724915,-0.122960355,-0.773724915,-0.309056648,-0.773724915,-0.773724915,-0.773724915,-0.773724915,-0.773724915,-0.773724915,1.489309491,-0.572091053,0.507231399,-0.463384794,-0.773724915,-0.77372491,-0.278029752,0.113800356,-0.773724915,0.261898995,2.052060713,-0.417581104,-0.773724915,-0.113800356,0.489309491,2.648508086,2.303518084,0.19712874,-0.773724915,-0.773724915,1.434167937,0.159847724,-0.745155762,0.408967383,2.202638721,1.017047123,0.519056835,-0.486843767,1.902091017,2.907724351,0.599227183,1.078273923,-0.773724915
U25789_at,-0.064887959,-0.890517052,0.476567224,-0.695654149,-0.862673419,0.130780436,0.062867589,-0.003591779,-0.521712893,0.024930304,-0.399815283,-0.791869464,0.223935403,-0.060719522,1.055205887,0.393328759,0.228711413,-0.190418841,-0.136780877,0.27957235,0.396364096,0.206747982,0.669068886,-0.441480605,0.035092923,-0.225450857,0.278914636,0.330606508,0.530611282,-0.248022817,0.021788887,-0.287419535,1.38937325,0.508338434,-0.491100533,0.104294725,-0.166034682,-0.530909387,-0.146466385,-0.560032197,0.185849088,0.02884748,0.211581136,0.180224539,1.14709044,-0.607887166,-0.69436199,0.283512348,-0.72701832,-0.232935673,0.30757408,0.191451795,-0.33898526,-0.867034214,-0.772651549,0.968127099,-0.315949723,0.003591779,-0.455640806,-0.265186609
HG821-HT821_at,-0.460867149,-0.378202434,0.32849207,0.109436174,0.17738728,-0.128524187,0.479580663,-0.42723077,0.424060714,-0.600499215,-0.224822723,-0.794388119,-0.436163895,-0.306010659,0.123690157,0.105337605,0.072962768,-0.000662293,-0.138209991,0.072123015,0.698621664,-0.059261525,0.254176848,0.174260332,-0.10886929,-0.298388856,0.068338067,0.136600266,0.30473909,-0.361088413,0.528152455,0.671156623,0.78520407,-0.227921962,-0.329675461,0.365290426,0.312581781,-0.234140485,-0.101271142,0.395142693,0.01427894,0.307595913,0.103694912,-0.051004424,0.5851834,0.24190801,-0.401924844,-0.292428417,-0.071736467,-0.032822771,-0.400175769,0.000662293,-0.123224583,-0.367909679,-0.431988219,0.381311067,-0.03463066,0.067074208,0.146606514,-0.364495015
X62654_rna1_at,-0.101179475,0.089128413,-0.744387117,0.027806966,-0.852050671,1.080003177,1.26369523,0.083660201,-0.573381849,0.960783162,0.123287275,-0.252029796,1.326002211,0.11616284,-0.034254002,-0.111596091,-0.767261583,-0.777177052,0.37233649,-1.265924237,-0.296495936,-2.78716114,-1.465233045,-1.018486686,-2.898192453,-2.167009211,-1.559055068,-0.272921963,1.836246213,2.365593161,1.112587386,1.742775458,2.30108727,1.890493258,1.133026278,-0.354696569,0.018284192,0.929626572,-0.635158047,-0.797214805,0.651476718,-0.873163658,0.58465583,1.05134248,0.022100847,-1.382177306,-0.352224084,-0.25896029,-0.318046968,0.413601265,0.650244172,-0.14973122,0.006773266,-0.006773266,-0.132657706,0.972665412,0.503711019,0.035380185,0.453718508,-0.240552448
X04741_at,2.163498732,0,0,4.492494152,0,0,0,0,3.527320608,3.493134922,0,5.034303768,0,4.992315252,0,0,0,0,3.634593268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.730096466,0,4.419538892,3.241840184,0,4.777156666,4.44625623,4.481557281,0,0,3.390942773,0,0,3.705977902,0,4.995936704,4.259272487,2.114367025,2.204766751,0,5.263034406,2.283921772,4.577126661,3.708187236,4.130107179
X69550_at,-0.841307016,-0.20456887,-0.402264054,-0.219173283,0.11777433,0.73394033,1.037556546,0.4166081,0.820128367,0.277889448,0.478683275,0.464392617,0.2852993,0.448639648,-0.041811692,-0.339376348,-0.371642438,-0.765854788,-0.414216857,-1.121876081,-0.153584941,-0.025218212,-0.217077865,-0.571296575,0.344665927,-0.465528947,0.102754812,0.249379726,0.389360925,0.051529489,0.235675923,0.025218212,2.29817566,0.374152691,-0.290086941,0.2047488,0.3489154,-0.257420752,-0.738547442,-0.135663033,-0.369313632,-0.227585522,0.735023028,0.3489154,-0.500779794,-0.290086941,0.259948968,0.24482624,-1.656753351,0.691068522,0.261452558,0.111118285,-0.511011717,-0.292291212,-0.784351131,0.541914036,-0.544775698,-0.1475862,0.077369494,-0.796815097
D87292_at,1.255732697,-0.367197654,1.232120139,0.82183617,0.310874251,-0.367197654,-0.367197654,1.292726904,-0.367197654,-0.367197654,0.255732697,-0.367197654,-0.367197654,0.086978239,4.870060117,3.568262093,0.488792043,1.049642088,0.301829111,2.478794116,3.050992294,-0.367197654,0.310874251,-0.367197654,-0.367197654,0.168855246,-0.165563793,-0.367197654,1.097470613,0.535840616,-0.367197654,0.022369157,0.04422859,-0.367197654,-0.367197654,1.47678619,1.385550937,-0.367197654,-0.367197654,0.236873669,0.118229173,-0.269586858,-0.367197654,-0.367197654,0.188618501,-0.128410795,1.328796159,4.144396887,-0.022369157,-0.367197654,0.581403193,-0.190874882,-0.310614126,0.227350895,0.937313387,-0.338628502,-0.324553317,-0.367197654,-0.269586858,-0.367197654
X68733_rna1_at,0,0,0,0,0,0,0,0,0,0,0,0,0.526068812,0.454175893,0,0,0,0,0,0,0,0,0,0.056583528,0,0,0,0,0,0,4.578334949,0,0.33342373,0,5.234194723,0,0,0,0,0,0.298658316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M11353_at,-0.021637989,-0.816689944,-0.044346529,-0.035513674,-0.815429398,-0.179710486,-0.221673779,0.566953935,0.024846914,-0.527412635,-0.715641747,0.329500409,1.091881135,-0.002863915,0.553845056,-0.040659599,-0.096978031,0.047885843,-0.053976878,-0.250343121,0.468970938,0.492571739,0.109574944,0.49917215,0.084134651,0.084809912,0.260050919,-0.138145205,0.505238151,0.403899784,0.46067062,0.002863915,0.32493491,0.289639632,-0.672780533,0.531233359,0.170643644,-1.65688916,0.106918047,-0.784268466,0.066466003,0.297816872,-0.03038604,-0.045823943,0.969248304,-0.015835286,-0.503870442,0.663231612,-0.770768031,-0.068919477,0.400106781,0.406062746,-0.432562831,-0.452019566,-0.404808637,0.949734714,-0.643405931,-0.137357493,0.29022526,-0.309449739
HG1763-HT1780_s_at,0,0,0,0,0,0,0,5.229972385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X98482_r_at,-0.041964031,0.125877656,-0.39477323,0.563294632,-0.501981278,0.650724541,0.091740783,0.525576819,0.127771703,0.379022735,-0.044521246,-0.002481703,-0.127033593,0.128150214,-0.550224492,0.230760761,-0.196429547,0.123601513,0.172131407,0.173232281,0.019312309,-0.134732816,-0.181811495,-0.715614139,-0.218397522,-0.342966287,-0.211676136,0.154773802,-0.247072547,-0.821275916,0.063916656,-0.345591756,0.12018055,-0.497886864,-0.931342831,-0.262370636,0.420406655,-0.017056607,0.237091466,0.225110051,-0.790186822,-0.756954935,0.002481703,0.280645223,-0.319549623,0.005369156,0.467832002,0.595678786,0.129285151,0.027451654,0.054388641,-0.729263201,-0.637611627,0.168087667,-0.634397781,-0.13337114,0.193629218,-0.266842572,-0.363572792,0.230408239
U73379_at,0.113753787,-0.737117857,0.04188553,-0.075516564,0.11290887,0.457810568,0.684569331,0.121335851,0.518406804,-0.34125012,0.249874462,0.703214171,0.669133176,-0.187626931,0.052500134,-0.444429383,-0.306925859,-0.424666128,-0.106669085,-0.000456983,0.000456983,0.402876412,-1.624338473,-3.980482283,-0.834804828,-3.980482283,-1.005952971,0.172512322,0.457810568,-0.408805473,0.138043566,-0.887936542,-0.32971772,0.322567802,-0.222392349,0.130549029,-0.951913131,-0.428351175,1.024468477,-0.652794919,-0.156732923,-0.241714446,-0.18554662,0.869016649,0.315975124,-0.282263805,0.052500134,1.244869778,0.027610138,0.324028759,0.587549822,0.557434966,-0.509294823,-0.491196261,-0.607530185,0.346486428,-0.016083651,-0.55019701,0.643618611,0.03119225
U94586_at,-0.746743997,-0.412756989,0.4335826,-0.454772044,-1.184932461,-0.043576611,-0.039734545,0.671682254,-0.581233397,0.340350355,0.001866359,-1.499805798,1.332960745,1.268830408,-0.005608761,0.446422946,-0.609430289,-0.416073531,0.528935833,0.176065199,0.174963485,0.107271864,-0.292065282,-0.004360215,-1.5175078,-0.424398395,-0.324417514,0.193579163,0.760293317,-0.042294785,0.664635154,-0.001866359,1.80121074,0.005589445,0.216248238,0.297460307,0.590551946,0.622422461,0.277068518,-0.719854279,-0.122648182,0.602073816,0.309558449,0.573094749,0.676361269,-0.351149413,-0.571955584,0.63929628,-1.503328864,-0.42941647,0.378177804,0.435423947,-0.202005974,-1.014378971,-1.156918084,0.597147135,-0.241176571,-1.055164586,0.003108456,-0.551752013
M22382_at,-0.497535435,-1.008497354,-0.108033028,-1.147203625,-0.58960066,-0.130285835,0.899766583,-1.134028236,-0.704542693,-0.952905028,-0.18067833,0.481216831,-1.183584061,-0.214948232,-0.361895788,-0.106194028,0.407827691,0.099827959,-0.382892869,0.245923921,0.298931171,-0.467714302,-0.512071528,0.516258886,-0.925081346,0.229270293,-0.641925344,-0.013659059,0.824151588,0.013659059,0.622662375,0.614321467,1.33862832,0.662040878,0.39295108,0.419364185,-1.034492563,-0.623395062,-0.224891035,-1.398562325,0.095839306,0.644671879,0.599748666,0.222700964,0.718645157,-0.659347791,-0.640593831,0.154541262,0.303088796,-0.738324413,-0.530450057,0.833284121,0.744862678,-0.155737502,0.417447831,1.155691278,0.075728929,-0.79496491,0.897476954,0.080581047
D38076_at,-0.508160918,-0.626041197,-0.344882708,-0.393475476,-0.4068427,0.403797297,0.929592638,-0.95300293,-0.136472811,-0.796524625,-0.273181243,0.091136499,-0.903439829,-0.106563169,0.632893052,0.556237836,0.130003835,0.305354989,-0.28019314,-0.168641257,0.730311967,-0.141252589,-0.01306432,2.004352733,0.127356687,-1.4068427,-0.303220069,-1.100344646,0.096560171,0.416863304,-1.170268663,0.308863775,1.16785147,0.18704503,-0.007235241,0.184500594,0.814178729,-1.274931025,0.322814198,0.693204477,0.169139011,-0.023322226,-0.069647849,-0.310379861,0.476320521,0.015848372,0.011548234,-0.126960502,0.007235241,0.369485326,1.014416416,0.149704118,0.442645584,-0.621581549,-0.933525555,-0.296095635,0.151007955,0.741606837,-0.194902643,-1.193247227
M37583_at,-0.083444991,-0.455350954,0.186513938,-0.127905854,-0.511713397,-0.051759346,0.471666342,-0.609812838,0.526571667,-0.755336496,-0.374732494,0.182967052,-0.012598076,0.453380989,-0.259255276,-0.523255018,0.338517031,0.166897263,0.216315503,-0.16358483,-0.25443826,0.641510585,-0.07492721,0.078030995,0.320066969,-1.168107388,0.242961209,0.012598076,1.00959767,0.33931388,1.112466744,0.280785267,1.53911086,0.698516488,-0.313331949,-0.085582318,-0.609812838,-0.370817444,-0.200168597,-1.385224868,-0.493152987,0.266612477,0.05396145,-0.63463401,0.291530109,-0.43204801,-0.875926637,0.192700082,0.465110281,0.276631233,0.350423798,-0.092013361,0.431128182,-0.395794109,-0.196699189,0.656933753,-0.803776851,-0.079179814,0.293176082,0.097943631
L12168_at,1.127172678,1.061050912,-0.949903545,-0.018973938,-0.026684779,-0.495813269,0.240724162,-0.412637786,1.040534842,-0.109419841,0.539079554,0.511659086,0.810620339,0.227819827,-0.34938623,-0.264884166,-0.526095836,-1.111058337,-0.539271225,-0.727511124,-0.714998512,-0.929522045,-0.5592627,-0.028231906,-1.241366359,-1.322562442,0.023461329,0.573148355,0.788820362,0.585340216,1.050096455,1.493983373,0.68878253,0.939680796,0.248411721,-0.34938623,1.158790891,0.018973938,-0.127546459,-0.747759807,-2.098002184,-0.586356361,-0.324461975,-0.414659784,0.252240193,-0.466153295,0.429510045,0.275000096,-0.281393253,-0.072239088,0.259866792,-0.439147416,0.732377406,0.131336303,0.179044312,0.986399234,0.76846922,-0.290647262,2.001262688,0.116010572
AFFX-BioDn-3_at,-0.25599492,-0.27214466,-1.061009704,-0.277568332,-0.615890865,-0.602215928,-0.066867183,0.164719201,0.819610737,-0.914394615,-0.229474044,-0.826310645,1.018038485,-1.162718237,0.801077522,0.68318629,-0.222919307,0.044903048,1.287790174,0.250122184,0.711522769,1.084020296,1.012493916,1.445885332,1.42641994,0.997977512,-1.335782946,-0.981408229,0.51221396,-0.575248881,-0.568585151,0.140522491,0.27256248,0.609442831,1.439288259,0.115913024,0.147621883,-0.86661201,-0.783241923,-0.027497459,0.025214713,1.516137528,0.37376719,1.50393957,-3.686280193,-1.051686925,0.100316169,-3.686280193,1.429335738,1.304674667,-0.025214713,1.079784858,0.366831143,-0.532474857,-0.135379529,-0.390557169,-0.104928946,-0.796806651,-0.663024841,-0.854402952
M27783_s_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.200849575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X57959_at,0.474773724,-0.234915257,-0.126880383,0.358866191,-0.679197576,-0.002562516,0.369219553,0.164964559,-0.135862171,-0.334795619,0.09663084,-0.546027595,0.420666318,0.256187078,0.301803016,-0.363519908,-0.008736684,0.068560075,0.158550534,-0.350392474,0.30595466,0.101415903,0.002562516,0.382647417,-0.011833705,-0.804280903,-0.27528155,0.479927526,0.48725831,0.055797123,0.699061519,-0.176986904,1.55161117,0.53826255,0.081211107,0.02791809,-0.537075994,0.213508411,-0.176986904,-1.353008423,-0.436549118,-0.171204552,0.432107259,-0.09041047,0.910680415,-0.616566588,-0.349086277,-0.742954941,-0.219318402,-0.042119404,0.11945576,0.358866191,0.747486983,-0.149440577,-0.453292382,1.217921675,-0.35694126,-0.450488309,0.438928525,-0.093688082
M25296_at,0,1.811471031,0,0,0.056583528,0,0,0,4.609991295,0.704871964,0,0,0,0,0.084064265,0,0,0,0,0,0,0.367371066,0,0,0.310340121,0,0,0,0,0,0,0,0,0,0,0,0,5.196921734,0,0,0,0,1.189033824,0,0,0,3.739848103,0,0,0,0,0,0,0,0,0,0.298658316,0.150559677,0,1.176322773
U90915_at,-0.772735495,-0.860633473,0.679877107,-0.562576781,-1.318216667,0.361758949,0.697571355,0.666462534,-0.703092196,0.082782999,-0.628759998,-0.129227404,0.533444408,-0.909543073,0.804665999,0.188461077,-0.02191438,-0.407267855,-0.05857285,0.300220538,0.02088056,0.047736052,-0.35422162,0.197372131,-0.415395736,-0.767524068,-0.217665368,0.257402472,0.591380674,0.199147756,0.44417707,-0.180251407,1.45981418,0.4154432,-0.02088056,-0.027094619,0.454620616,0.235074603,0.275187608,-0.260949466,-0.217665368,-0.201177246,0.524266479,-0.104924156,0.994027164,-0.30305686,-0.676800898,-0.128113783,-0.583793267,0.259956668,0.712567021,0.659385755,-0.05857285,-0.281849547,-0.52251995,1.161848158,0.258254373,-1.97611069,0.44492555,0.275187608
HG417-HT417_s_at,2.434291239,1.290206242,-1.563778734,-0.036531731,-0.567641374,-0.144888909,-0.293689571,0.086543499,0.059251808,1.247978007,1.000462476,-0.058105143,2.268163519,-0.080006058,2.240265988,0.036531731,-0.499648397,-0.424172667,0.056744952,0.220243684,-0.096652724,-2.466817004,-2.466817004,-1.556084342,-2.466817004,-0.293689571,-0.316257327,2.388674439,2.361509922,2.715478021,1.675596434,1.907526985,1.97479926,0.607003229,0.93781368,-0.342488869,-0.044584003,0.285931587,-0.610827307,-0.18586069,-0.39986676,-1.49596335,0.108495327,-0.156476883,-0.349121961,-0.188832257,0.806698886,-0.20078011,-0.249586288,0.181648439,0.885093957,-0.246487049,-0.452461711,0.350806253,-0.448895096,1.503116271,0.354893211,1.016031279,0.257833268,1.086543499
M77348_rna1_s_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028569152,0,0,0,0,0,0,0,0,0,0,0,0,2.042644337,5.179112901,0.687060688,4.261530815,4.1473067,4.244887059,0,1.432959407,0,0,0,0,0.669026766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U09587_at,0.230100741,-0.014778443,-1.101308407,-0.060281139,0.139089803,-0.434177364,0.285714716,-0.210359355,0.285714716,-0.170311194,0.55580388,0.032948646,0.901661121,0.720693291,0.185312819,-0.296220092,0.014778443,-0.754234664,-0.548407115,0.160734797,0.726287308,-0.037350403,-0.406979223,-0.133369616,-0.854215545,-0.720359798,0.073891537,0.368176877,0.359563746,-0.439178046,0.703779908,-0.145578674,2.2666463,-0.368311715,0.068616595,0.498114029,0.152448185,0.144113702,0.264341066,-1.001772733,-0.97610785,-0.708236239,-0.260374893,0.07739748,1.061553202,-0.699209963,-0.131344781,-1.046860623,-1.62041836,-1.464444804,1.011116779,-0.540324769,-0.354074477,0.692393148,-0.570184058,1.193413318,0.979611589,-0.717319344,0.690104971,0.256630224
X69391_at,-0.42452274,-1.04576507,0.182659925,0.077262379,-0.109135165,-0.000715031,0.160653003,0.626081271,-0.347901459,-0.492642649,-0.416865783,-0.147164714,0.31691435,-0.038892743,0.122190381,-0.069078855,0.000715031,-0.131936854,0.334789013,0.415990737,0.417062178,0.133533068,0.393304687,0.036943095,-0.30899631,0.146941513,-0.191113504,0.713562281,0.359521533,-0.060105602,-0.025245526,-0.048227428,0.57355665,0.275375527,-0.185139603,0.249545013,-0.519040339,0.011632006,0.160226486,-0.508830141,0.329108358,-0.321451309,0.120875853,-0.179730166,0.677952905,-0.097357997,-0.589737092,-0.015575952,-0.646808536,-0.081635027,0.546396196,0.036943095,-0.178650708,-0.742457766,-0.134550907,0.383837194,-0.31610028,0.060447031,0.07906857,0.005946501
J00124_at,0,5.15704371,0,0.378511623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443606651,0,0,0,0,0,0,0,0,0,0
X63578_rna1_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.156639311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X79865_at,-0.67914494,-1.524567903,-0.326628525,-0.505408324,-0.244913875,1.142856758,1.421392258,0.15494983,-0.207276218,0.206987096,0.554246481,-0.620251251,-1.152599125,0.310080589,0.894321922,0.387969256,0.44817389,-0.653609848,-0.008067281,-0.238572348,0.686760852,0.190632483,0.430374822,0.58674912,-0.152599125,0.517252273,0,0.257212565,-0.04909455,-0.04909455,0.475432097,-0.343541908,2.76103212,0.548757463,-0.182719114,0.698375481,0.021294778,-0.140725025,-0.409684265,-0.008067281,0.288287198,0.150124759,0.333679101,-0.032543373,-1,0.123294492,0.664939569,-1.027068243,-0.377975405,0.257212565,-0.155582984,0.398179455,0,-0.071462363,-0.402577378,1.301402698,-0.852293842,-0.102795569,0.197664317,-1.323269513
U08021_at,3.498250868,2.687060688,0,3.666756592,0.321928095,0,0,0,1.744161096,0,2.321928095,0.90303827,4.469885976,0,0,0,0,0,2.680324357,0,0,0,0,0,0,0,0,2.214124805,0,0,0,0,0,0,0.367371066,0.941106311,3.285402219,4.132576843,0,0,0,0,0.695993813,0,0,0,2.22342255,0,2.608809243,3.720278465,3.420886575,0,2.50589093,3.087462841,4.367371066,5.144862143,3.753818443,3.220329955,2.3305584,4.194559886
D17793_at,0,0,0,0,0,0,0,0,0,0.214124805,0,1.851998837,2.160274831,0,4.836934011,4.612352499,0,0,0,0,1.871843649,1.137503524,0,0,0,0,0,0,0,0,0,0,0,0,0,5.131754091,2.195347598,0,0,1.384049807,4.3305584,0,0,0,0,0,0,0,0,2.35614381,0,0,0,4.847495884,0,2.825785627,0,0,0.344828497,0
J02683_s_at,-0.044569527,-1.529764241,0.293287358,-0.925436416,-0.446129195,1.031721531,1.169675342,-0.885388255,0.001125347,-0.549393048,-0.072697697,0.776482231,0.621263729,0.411375916,0.665214392,-0.86270066,-0.541181899,-1.136828035,-1.164308771,-0.088165916,0.197420332,-0.159273181,-0.001125347,-0.39344277,-0.521663743,-0.824334221,-0.739217607,-0.158017025,0.539231851,0.518955803,1.09261742,0.061682293,1.54734016,-0.3685302,0.457999086,0.350894813,0.176661772,-0.520049087,0.203296898,-1.520049087,0.222714352,0.130119186,0.336707163,-0.453815388,0.32507607,0.323278319,0.556933853,-1.848446677,-1.478690057,-0.149254425,0.027863318,0.73786603,-0.685744194,0.013441794,-1.488129753,0.714053027,-0.724267266,0.160642787,0.229449186,-1.100178434
X17567_s_at,-0.127474897,-0.745628877,-0.015503028,0.068210079,-0.157420717,-0.104374482,-0.259273973,0.358556644,0.386992425,-0.665063396,-0.491557869,0.016461311,0.688773947,0.015503028,1.153442214,-0.596064829,-0.434136235,-0.314837306,0.366845852,-0.387759901,0.387733219,0.706102031,0.341833964,-0.392839818,0.121733354,-1.275602143,-0.050196783,0.23061915,0.216511579,-0.101252891,0.728497257,-0.022375355,1.15038981,0.310142094,0.123513361,0.631757545,0.419232762,-0.748881855,0.583430055,-3.812124289,-0.363871594,-0.523236456,0.796461816,-0.507999016,1.231031997,-0.881833261,-0.798577757,-0.138098619,0.228139581,-0.223763212,0.311704298,0.292845271,-0.293304145,-0.666600631,-0.403053631,0.260855157,0.328777811,-0.051200397,0.962787061,0.252745551
U46692_rna1_at,0.892504428,-0.393613591,-0.009742104,-0.703953711,-0.412350153,0.185130387,0.132778369,-0.325442088,-0.721370764,-0.22265477,-0.535311676,-1.479913437,0.235649009,-0.598275633,1.181230155,0.846946953,-0.492318458,-0.273133215,-0.079150946,1.706387393,-0.92827101,-0.309988436,-2.750874759,-0.375117247,-1.343308509,1.343584677,-0.587588955,0.820109964,0.156810491,2.018949427,0.651062553,1.930639557,2.1009259,0.904855531,-1.134462619,-0.412350153,-0.22265477,-0.497310487,-0.332116094,0.57581471,0.009742104,0.590005268,0.490133341,-0.419439578,0.501438802,0.12467787,0.345677056,1.208312917,-1.647370183,0.795828409,1.165522923,1.286638161,-0.122843536,-0.689598418,-0.484862653,0.30324179,0.622583637,-0.097985352,0.396351194,0.462118965
M27160_at,0,0,0,0,0,2.060047384,3.19061486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221103725,5.112283109,2.596935142,2.596935142,5.07638807,4.759155834,1.910732662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D32129_f_at,-1.192875451,0.235967848,-2.893315169,0.741278099,0.666176644,-0.878959876,-0.104629458,-1.829812227,-0.159960828,1.487968204,1.616380673,0.316138197,2.208082783,-0.05134205,1.105782865,0.643980898,-0.944714322,0.455766977,0.651417487,-2.893315169,0.547637029,-0.047323398,-0.88253533,-2.893315169,-2.127780423,1.203452686,0.535631176,-2.127780423,1.398730323,2.066454986,0.857291336,0.308318692,1.54497768,-0.168664897,-0.944714322,-1.982582507,-0.688548418,1.626478317,-0.768987034,-2.742755492,0.888044545,-2.571387074,-0.523150888,0.403876248,-2.085960247,-2.755811645,-1.53154681,-0.778948144,0.01165055,0.792624979,-1.098379506,-0.244849726,0.661273683,0.539644238,-0.01165055,1.65573786,1.720216484,0.560860724,0.044029223,-0.352296016
L08044_s_at,0,0,1.618238656,0,0,0,0,4.484782623,0,0,0,0,0,0,4.987320866,0,0,0,0,5.091699834,2.313245852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.286881148,0,0,0,0,0,0,0,0
Y00282_at,0.212595714,-0.085277361,-0.835557308,-0.705455586,-0.763349266,-0.150634562,0.218359585,0.389562326,-0.051594235,0.233238761,0.331179415,0.059180165,1.762482864,-0.405077063,0.853075121,-0.651897282,-0.685944762,-0.874289703,-0.532865432,-0.258578752,0.022753107,-0.249003307,-0.485247412,-0.444605428,-1.309090457,-0.100982262,-1.088120111,-0.179144284,0.323712585,0.431849506,0.60023022,0.759718701,0.87805112,0.555394572,0.466165991,-0.574116161,0.10345749,0.162052144,0.893984658,0.114626798,0.559941362,-1.325769198,-0.346041593,0.378279193,1.748608783,-0.394481948,-0.269831027,0.240054656,-1.470335703,-0.63309288,0.414882299,0.40985373,-0.6124826,-0.681644625,-1.618634827,0.740620418,0.213750332,0.228676876,-0.022753107,0.119563313
HG1828-HT1857_at,0.056583528,0.815575429,0,0,0,3.033863452,3.166715445,0,0,1.042644337,0,0,2.269033146,0,0,0.097610797,0,0,0,0,0,0,0,0,0,0,0,0,4.213347282,3.276496666,4.172327492,2.077242999,0,0.782408565,5.08236197,0,0,0,0,0,1.883620816,0,0,0,0,0,0,0,0,1.189033824,0,0.879705766,0,0,0,0,0,0,0.475084883,0
M11718_at,3.09085343,3.548436625,0,0,0,0.790772038,0,0.150559677,1.432959407,1.952333566,4.23572706,1.867896464,3.771885579,1.819668183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632268215,0,0,0,0,1.646162657,0.189033824,2.438292852,0,0.464668267,0,5.075960413,4.892391026,0,0.389566812,0,0.443606651,0,0,0,0,0,1.59454855,0,0.454175893,0,2.375734539,1.678071905,0,0,0
X60036_at,-0.756396211,-0.811174812,0.136523186,0.749767237,-0.475908918,-0.145156972,0.394531449,-0.003181953,-0.273121054,-0.533696669,-1.266981917,0.049422131,0.506279806,-0.324791185,0.109643522,-0.451336875,0.006986865,-0.539234853,0.22303218,-0.027624094,-0.173585381,-0.238172546,-0.190915259,-0.15788048,-0.458314858,-0.588144453,-0.716112615,0.308762054,0.849201984,0.571111256,0.888921285,0.122561512,1.67121795,-0.15221173,0.003181953,0.515212931,-0.107646177,0.204374015,0.019597916,-1.732937238,-0.313675153,-0.652709718,0.31389073,-0.49910674,0.813436765,-0.208455841,-0.111766204,-0.959213094,-0.153626831,0.221941295,0.549533004,0.197730741,0.272341565,0.033343923,0.149203768,0.807631144,-0.365205453,0.005719676,0.942223072,0.101362347
